name,quantity,unit,category
Fiorelli mit Pilzfüllung,600.0,g,Verschiedenes
Frischecreme,650.0,g,Milchprodukte
Frischer Butter-Blätterteig,1.0,Stück,Verschiedenes
Fusilli,270.0,g,Verschiedenes
Garnelen ohne Schale,1550.0,g,Fleisch
Getrocknete Tomaten mit Kräutern,300.0,g,Verschiedenes
Granatapfel,2.0,Stück,Obst
Grillkäse Zypriotischer Art,600.0,g,Milchprodukte
Großgarnelen,500.0,g,Fleisch
Gurke,15.0,Stück,Gemüse
Hafer-Cuisine,80.0,ml,Milchprodukte
Haselnüsse,20.0,g,Verschiedenes
Hefeflocken,10.0,g,Verschiedenes
Hirtenkäse,900.0,g,Milchprodukte
Hoisinsoße,25.0,ml,Verschiedenes
Hähnchenbrustfilet in Lake,6250.0,g,Fleisch
Hähnchengeschnetzeltes,2750.0,g,Fleisch
"Hähnchengeschnetzeltes, mariniert",1250.0,g,Fleisch
Hähncheninnenbrustfilet,250.0,g,Fleisch
Hühnerbrühe,138.0,g,Verschiedenes
Ingwerpaste,25.0,g,Gewürze
Jalapeño,3.0,Stück,Gemüse
Kabeljaufilet ohne Haut,240.0,g,Fleisch
Kapern,105.0,g,Verschiedenes
Karotte,82.0,Stück,Gemüse
Karotte-Lauch-Mix,200.0,g,Gemüse
Kartoffeln (Drillinge),2800.0,g,Gemüse
Kerbel/Schnittlauch,20.0,g,Gewürze
Ketjap Manis,72.0,ml,Verschiedenes
Kichererbsen,1140.0,g,Gemüse
Kidneybohnen,780.0,g,Gemüse
Kirschtomaten (Dose),400.0,g,Gemüse
Kiwi,2.0,Stück,Obst
Kochsahne,8400.0,g,Milchprodukte
Kohlrabi,1.0,Stück,Gemüse
Kokosmilch,3260.0,ml,Verschiedenes
Kokosraspeln,18.0,g,Verschiedenes
Koriander,10.0,g,Gewürze
Koriander/Minze,30.0,g,Gewürze
Koriander/Petersilie glatt,30.0,g,Gewürze
Kräuterbutter,100.0,g,Milchprodukte
Kürbiskerne,30.0,g,Verschiedenes
Kürbiskernöl,10.0,ml,Verschiedenes
Lachsfilet,1500.0,g,Fleisch
Laugenbrötchen,180.0,g,Brot
Libanesisches Fladenbrot,720.0,g,Brot
"Limette, gewachst",26.5,Stück,Obst
"Limette, vegan",9.0,Stück,Obst
Madras-Curry-Pulver,12.0,g,Gewürze
Mais,600.0,g,Gemüse
Maiskolben (vorgekocht),400.0,g,Gemüse
Maisstärke,64.0,g,Verschiedenes
Mandeln,10.0,g,Verschiedenes
"Mandeln blanchiert, gehobelt",90.0,g,Verschiedenes
Mango,2.0,Stück,Obst
Maxi Ravioli Tomate Mozzarella,400.0,g,Verschiedenes
Mayonnaise,1062.5,g,Verschiedenes
Mediterraner Mix,200.0,g,Gemüse
Milch,1.0,g,Milchprodukte
Mini-Klöße,375.0,g,Verschiedenes
Minze/Petersilie,40.0,g,Gewürze
Mozzarella,750.0,g,Milchprodukte
Naturjoghurt,3125.0,g,Milchprodukte
Nektarine,100.0,g,Obst
Ofenkartoffel,29.0,Stück,Gemüse
Orange,1.0,Stück,Obst
Oregano/Petersilie,30.0,g,Gewürze
Orzo-Nudeln,630.0,g,Verschiedenes
Pak Choi,1200.0,g,Gemüse
Pangasius,720.0,g,Fleisch
Pankomehl,712.5,g,Verschiedenes
Paprika multicolor,22.0,Stück,Gemüse
Paprikapulver edelsüß,9.0,g,Gewürze
Pekanusskerne,15.0,g,Verschiedenes
Penne,810.0,g,Verschiedenes
Perlencouscous,525.0,g,Verschiedenes
Petersilie glatt/Basilikum,50.0,g,Gewürze
Petersilie glatt/Kerbel,10.0,g,Gewürze
Petersilie glatt/Rosmarin,10.0,g,Gewürze
Petersilie glatt/Schnittlauch,130.0,g,Gewürze
Petersilie glatt/Thymian,50.0,g,Gewürze
Petersilie glatt/Zitronenthymian,30.0,g,Gewürze
"Petersilie, glatt",190.0,g,Gewürze
Pfirsich-Ajvar-Dressing,70.0,ml,Verschiedenes
Pflaumenkonfitüre,160.0,g,Verschiedenes
Pflücksalat,425.0,g,Gemüse
Pinienkerne,70.0,g,Verschiedenes
Pistazien,20.0,g,Verschiedenes
"Planted vegane Filetstücken Hähnchen-Art, Kräuter-Zitrone",160.0,g,Verschiedenes
Planted veganes Pulled in BBQ-Marinade,160.0,g,Verschiedenes
Porree,12.0,Stück,Gemüse
Portobello-Pilze,4.0,Stück,Gemüse
Prinzessbohnen,150.0,g,Gemüse
Prosciutto,140.0,g,Fleisch
Pulled Pork,500.0,g,Fleisch
Quinoa Tricolor,100.0,g,Verschiedenes
Radieschen,750.0,g,Gemüse
Rigatoni,270.0,g,Verschiedenes
Rinderbrühe,28.0,g,Verschiedenes
Rinderhackfleischzubereitung,2400.0,g,Fleisch
Rinderhüftsteak,1500.0,g,Fleisch
Rosmarin/Thymian,10.0,g,Gewürze
Rosmarinzweig,60.0,g,Gewürze
"Rote Beete, vorgegart",500.0,g,Gemüse
Rucola,675.0,g,Gemüse
"Sahnejoghurt, Bio",875.0,g,Milchprodukte
Sahnemeerrettich,36.0,g,Verschiedenes
Salatherz (Romana),17.0,Stück,Gemüse
Salbei,10.0,g,Gewürze
Salbei/Thymian,10.0,g,Gewürze
Sambal Badjak,30.0,g,Verschiedenes
Schmand,250.0,g,Milchprodukte
Schnittlauch,60.0,g,Gewürze
Schnittlauch/Thymian,20.0,g,Gewürze
Schwarzkümmel,4.0,g,Gewürze
Schweinefilet,1250.0,g,Fleisch
Schweinelachssteaks,750.0,g,Fleisch
Schweineschnitzel,500.0,g,Fleisch
Seehecht,1000.0,g,Fleisch
Seelachs,650.0,g,Fleisch
Semmelbrösel,250.0,g,Verschiedenes
Sesamsamen,85.0,g,Verschiedenes
Sesamöl,50.0,ml,Verschiedenes
Skipjack Thunfisch im eigenen Saft,160.0,g,Fleisch
Skipjack Thunfisch in Olivenöl,284.0,g,Fleisch
Soja-Kochcrème,312.5,g,Verschiedenes
Sojasoße,575.0,ml,Verschiedenes
Sonnenblumenkerne,180.0,g,Verschiedenes
Sonntagsknödel,500.0,g,Verschiedenes
Spaghetti,1080.0,g,Verschiedenes
Spitzkohl,2.0,Stück,Gemüse
Sriracha Sauce,84.0,ml,Verschiedenes
Stir Fry Mix,200.0,g,Gemüse
Sultaninen,100.0,g,Verschiedenes
Sweet Chili Soße,275.0,g,Verschiedenes
Süßkartoffel,8.0,Stück,Gemüse
Süßkartoffelgnocchi,400.0,g,Verschiedenes
Teriyakisoße,300.0,ml,Verschiedenes
Thai-Basilikum,10.0,g,Gewürze
Thüringer Rostbratwurst,800.0,g,Fleisch
Tikka-Masala-Paste,50.0,g,Verschiedenes
Tofu Natur,180.0,g,Verschiedenes
Tofu-Hack,180.0,g,Verschiedenes
Tomate,35.0,Stück,Gemüse
Tomate (Roma),10.0,Stück,Gemüse
Tomatenpesto,625.0,g,Verschiedenes
Tomatensugo,700.0,g,Verschiedenes
Tortilla-Chips,75.0,g,Verschiedenes
Vegane GREENFORCE Frikadelle,160.0,g,Verschiedenes
Veganer GREENFORCE Leberkäse,160.0,g,Verschiedenes
Walnüsse,100.0,g,Verschiedenes
Weizenmehl,225.0,g,Verschiedenes
Weizentortillas,1816.0,g,Verschiedenes
Worcester Sauce,104.0,ml,Verschiedenes
Ziegenfrischkäse-Crumble mit Honig,200.0,g,Milchprodukte
Ziegenfrischkäsetaler,125.0,g,Milchprodukte
"Zitrone, gewachst",34.5,Stück,Obst
Zucchini,22.0,Stück,Gemüse
braune Linsen,1560.0,g,Verschiedenes
frische Eierspätzle,2000.0,g,Verschiedenes
"frische Gnocchi, vorgekocht",2800.0,g,Verschiedenes
frische Linguine,2500.0,g,Verschiedenes
frische Paccheri,625.0,g,Verschiedenes
frische Strozzapreti,250.0,g,Verschiedenes
frische Tortellini mit Ricottafüllung,400.0,g,Verschiedenes
frischer Flammkuchenteig,260.0,g,Verschiedenes
gelbe Currypaste,50.0,g,Gewürze
gemahlener Kumin,1.5,g,Gewürze
gemischte Hackfleischzubereitung,3500.0,g,Fleisch
gerebelter Oregano,3.0,g,Gewürze
gerebelter Thymian,3.0,g,Gewürze
getrocknete Aprikosen,60.0,g,Verschiedenes
getrocknete Pflaumen,40.0,g,Verschiedenes
grüne Currypaste,75.0,g,Gewürze
grüne Kresse,80.0,g,Gewürze
grüne Paprika,1.0,Stück,Gemüse
grüner Spargel,500.0,g,Gemüse
"junger Gouda, gerieben",475.0,g,Milchprodukte
kleine Salatgurke,19.0,Stück,Gemüse
mehligk. Kartoffeln,3800.0,g,Gemüse
milder Chili-Mix,29.0,g,Gewürze
pikante Paprikasoße,560.0,g,Verschiedenes
rote Chilischote,15.0,Stück,Gemüse
rote Currypaste,25.0,g,Gewürze
rote Kirschtomaten,2250.0,g,Gemüse
rote Spitzpaprika,13.0,Stück,Gemüse
saure Sahne,1150.0,g,Milchprodukte
schwarze Bohnen,1900.0,g,Gemüse
stückige Tomaten,1755.0,g,Gemüse
süßer Chili-Grill-Tofu,540.0,g,Verschiedenes
vegane Brioche Burger Buns,320.0,g,Brot
vegane Knusperstäbchen nach Fisch Art,16.0,Stück,Verschiedenes
vegane Mayonnaise,275.0,g,Verschiedenes
vegane Spätzle,400.0,g,Verschiedenes
vegane weiße Misopaste,37.5,g,Verschiedenes
veganes Schawarma,180.0,g,Verschiedenes
veganes cremiges Sojaprodukt,300.0,g,Verschiedenes
vorgegarte Kartoffelwürfel,1200.0,g,Gemüse
vorw. festk. Kartoffeln,10700.0,g,Gemüse
weißer Spargel,400.0,g,Gemüse
würzige Dalsoße,160.0,g,Verschiedenes
"würziger Gouda, gerieben",375.0,g,Milchprodukte
